생물 농축 현상	bioconcentration (whenever a consumer eats another animal, it in turn eats the plastic the other animal ate)
만성질환	chronic disease
조만간	곧, 머지 않다
질책	야단
턱없이	설명이 안 될 대로 (형용사)
익사 사고	drowning accident
공해	international waters
해류	ocean currents
한복판	한가운데
동시다발	a lot all at once, a lot at one time
백해무익하다	lots of damage and no benefits
해풍	ocean winds
개체수	population
사탕수수	sugar cane
일품요리	one-course dinner, one dish meal
신흥	newly rising, up and coming
각료	장관
물에 잠기다	to be flooded
절수하다	물을 아끼다
쌀뜨물	water for washing rice
철새	migratory bird (반대말: 텃새)
필두(로)	head, lead
포유류	mammal
파충류	reptile
양서류	amphibian
어류	fish
일일이 나열하다	하나하나 순서대로 말하다
