,0,1
0,영상,"video, slideshow, picture"
1,동영상,video
2,눈을 떼다,take one's eyes off sth
3,케이팝,k-pop
4,놀랍다,"surprising, amazing, astonishing"
5,멜로디,"melody, tune"
6,중독성,"toxic, poisonous"
7,중독성이 있다,addictive
8,따라하다,"imitate, copy"
9,팬,"fan, admirer"
10,인기리,popular
11,방영,"be broadcast, be aired"
12,대화에 끼다,engage in conversation
13,저속하다,"vulgar, indecent, crude"
14,흥미를 끌다,attract interest
15,어쩔 수 없다,"inevitable, unavoidable, urgent"
16,자극적,"stimulating, exciting, sensational"
17,온,"all, whole, entire"
18,시청하다,watch (TV)
19,시간대,"time slot, time zone"
20,폭력적,violent
21,선정적,"suggestive, lascivious"
22,장면,scene
23,자제하다,"restraing oneself, control oneself"
24,바람,"wish, desire, dream"
25,감미롭다,"sweet, mellow"
26,감독,"director, supervisor, manager"
27,각본,"scenario, plot, script"
28,참신하다,"original, fresh, novel"
29,진부하다,"banal, stale, worn-out"
30,뻔하다,"transparent, obvious"
31,통속적이다,"common, conventional, unrefined"
32,청중,"audience, spectator"
33,평론가,"reviewer, critic"
34,장안의 화제다,it is the talk of the town
35,반응이 뜨겁다,the reaction is intense
36,반응이 냉담하다,the reaction is indifferent
37,호평을 받다,"receive favorable reviews, be well received"
38,혹평을 받다,receive harsh reviews
0,대중문화,pop culture
1,순기능,the right function
2,역기능,adverse function
3,유형,"type, category"
4,누리다,enjoy (1)
5,대중매체,mass media
6,한정되다,be limited
7,계층,"class, bracket, rank"
8,기호,"taste, liking, preference"
9,동질,"same quality, homogeneity"
10,즐기다,"have fun, enjoy"
11,다수,"many, majority"
12,손쉽다,"easy, with ease"
13,접하다,"encounter, come into contact with"
14,보편적이다,universal
15,공유하다,share
16,신분,"identity, status, rank, position"
17,특권,"privilege, special right"
18,고급문화,high culture
19,향유하다,enjoy (2)
20,수용하다,"accept, embrace"
21,접근성,accessibility
22,질적,qualitative
23,대량,in quantity
24,상품화,commercialization
25,보급되다,diffuse
26,동질적,homogeneous
27,규격화,standardization
28,획일화,"uniformity, standardization"
29,초래하다,"lead to, result in, cause"
30,상업성을 띠다,show marketability
31,저하,"fall, decline"
32,시청률,viewer ratings
33,흥행,"performance, show"
34,선정적,"suggestive, lascivious"
35,양면성,ambivalence
36,무조건적,"unconditional, without question"
37,단순히,simply
38,주체,subjekt
39,창조적,creative
40,음원,"sound source, album"
41,상업 문화,commercial culture
42,대량생산,mass production
43,보편화,generalization
44,대중의 기호에 맞추다,hit the mark
45,표절,plagiarism
46,시비,"controversy, dispute"
0,소재,"material, subject matter"
1,쏟아지다,to pour (rain)
2,시선을 사로잡다,"catch attention, catch one's eye"
3,제작되다,be produced
4,저질,low
5,막장,"Slang for ""could not get worse"""
6,전개,"deployment, development"
7,수위 조절,control the level of sth
8,무턱대고,"blindly, thoughtlessly"
9,외면하다,"look away, disregard, avoid"
10,한류,korean wave
11,몰리다,"be cornered, be driven to"
12,콘텐츠,content
13,이미지,image
14,개선시키다,improve
15,인적 교류,"human exchange, exchange personal"
16,확대하다,"enlarge, expand"
17,애정,"affection, love"
18,집착,obsession
19,쫓다,"pursue, chase"
20,극성팬,hardcore fan
21,무단 침입,trespass
22,범죄,crime
23,돋보이다,stand out
24,사생활 침해,privacy infringement
25,관대하다,"tolerant, generous, lenient"
26,친밀감,"intimacy, sense of closeness"
27,용인되다,be tolerated
28,해법,solution
29,성숙하다,mature
30,욕구,"desire, craving, drive for"
31,채워 주다,fill up
32,극심하다,"extreme, intense, severe"
33,코미디 프로그램,comedy program
34,친밀하다,be intimate
35,오락적,recreational
36,반영하다,"reflect, mirror"
37,풍자적,satirical
38,꼬집다,"point out, criticize"
39,한바탕,"bout, period, round"
40,해소하다,"solve, settle, get rid of"
41,카타르시스,"catharsis, relaxation"
42,스타시스템,star system
43,조명,"lighting, illumination"
44,완벽하다,"perfect, flawless, immaculate"
45,가창력,singing ability
46,유창하다,fluent
47,매너,manners
48,흠,"fault, flaw, defect"
49,흠잡을 데 없다,be faultless
50,나아가다,"proceed, advance, progress"
51,이른바,so-called
52,연예기획사,entertainment agency
53,재능,"talent, ability, gift"
54,잠재력,"potential, latent power"
55,발굴하다,"discover, find / excavate"
56,체계적,systematic
57,조직적,organized
58,인기를 끌다,gain popularity
59,영재,gifted person
60,연예,entertainment
61,매니지먼트,management
62,접목하다,"graft, attach, add"
63,연습생,trainee
64,데뷔하다,make one's debut
65,교정,"correction, proofreading"
66,포함되다,get included
67,인맥,personal connections
68,흥행,"performance, show"
69,확보하다,"retain, secure"
70,창출하다,create
71,수익을 올리다,make a profit
72,쏟아붓다,"pour into, pump into"
73,보상하다,"reward, compensate"
74,게다가,"besides, further, in addition"
75,상실하다,"lose, loss"
76,투자하다,"invest, make an investment"
77,명분,"justification, pretext"
78,불공정,unfair
79,노예 계약,slave contract
80,이면,"the other side, reverse, the background"
81,에 치중하다,"focus on, concentrate on"
82,육성하다,"promote, foster, nurture"
83,추구하다,"pursue, seek"
84,아이돌,idol
85,논란,"argument, controversy"
86,선보이다,show sth special
87,성 상품화,sexual commercialization
88,퍼포먼스,performance
89,하의실종 패션,fashion that shows a lot of legs
90,탈의하다,"undress, disrobe"
91,복근,"abs, abdominal muscles"
92,노출,exposure
93,각선미,a leg-beauty
94,골반,pelvis
95,억압하다,"suppress, oppress"
96,코드,code
97,포용하다,"embrace, tolerate"
98,부여하다,assign
99,색안경을 끼다,"be partial, wear rose-tintes glasses"
100,모방하다,"emulate, model, copy"
101,염려,"anxiety, worry, concern"
102,기성세대,older generation
103,외설,pornography
104,조각가,sculptor
105,로댕,Rodin (french sculptor)
106,외설스럽다,indecent
107,저급하다,"substandard, low-grade"
108,수위가 높다,"high in stature, high level"
109,허용하다,"permit, allow"
110,낯이 뜨겁다,embarrassing
111,감수성,"sensitivity, sensibility"
112,인격 형성,"character building, personality development"
113,안무,choreography
114,무분별하다,"thoughtless, imprudent"
115,불러일으키다,"cause, bring about"
116,미성년자,minors
117,철저히,"thouroughly, completely"
118,돈벌이,make money
119,통제하다,"control, regulate"
120,일석이조,two birds with one stone
121,견물생심,opportunity makes the thief
