권태기	period of lassitude
상당하다	suitable, fit, proper
주의 깊다	cautious
사랑이 식다	love dies down
집중	focus, concetration
하소연	complain, whine about
건성	dryness / half hearted
이래라 저래라 하다	tell what to do
늘어놓다	set forth, spread out, scatter
해결사	troubleshooter
단지	just, simply, merely
면	side, face
차이	difference, distinction, gap
상처	wound, injury
상처를 받다	get hurt
매력을 느끼다	feel attractive
환상이 깨지다	a fantasy breaks out
편을 들다	take a side
편이 되다	go on a side
둔하다	dense, slow, sluggish, dull
너그럽다	generous, tolerant, liberal
무뚝뚝하다	blunt, unfriendly, cold
다정다감하다	sentimental, emotional
퉁명스럽다	brusque, abrupt, gruff
술직하다	uproarious
내숭을 떨다	play coy
허세를 부리다	bluff, show off
