생물학적	biological
구분되다	be separated from
일생	lifetime
남녀칠세부동석	boys and girls are not allowed to sit together after age 7
유아기	infancy
신체적	physical
사춘기	puberty
도달하다	reach, arrive
정체성	identity
구별	distinguish between
구분을 짓다	make a distinguishment
가장	head of the household
살림	housekeeping
육아	parenting
맡다	take charge of, take care of
내조	the wife's help
유래하다	derived from, originate from
호칭	title, name of sth
지배하다	to rule
기대하다	to anticipate, to expect
유형	type, category
외향적	extroverted
수동적	passive
순종적	obedient
동정적	sympathetic
모성애	maternal love
이분법	dichotomy, contrast, difference
확고하다	resolute, firm, adament
고정관념	stereotype, fixed idea
성역할	gender role
가사	housework, household chores
늘어나다	stretch (material)
성전환수술	sex reversal surgery
시행되다	come into effect
근본적	fundamental, basic
사회화	socialization
군복무	military service
유교사상	confucian ideas
대범하다	broad-minded, generous
이상적이다	ideal, perfect
이성적이다	reasonable, rational
소심하다	timid
감정적이다	emotional
현실적이다	realistic, down-to-earth
