좌우하다	affect, determine, influence
필수조건	prerequisite condition
입시 경쟁	competition for entrance examinations
치열하다	fierce, intense
비관자살	pessimistic suicide
입시 스트레스	entrance examination stress
엄청나다	enormous, huge, massive
목숨을 걸다	risk one's life
과언이 아니다	it is no exaggeration to say that
교우 관계	one's company, one's associates
평생	whole life, lifetime
소중하다	precious, valuable
워낙	so, very / by nature
문제아	problem child
비행	misdeed, wrongdoing
저지르다	commit, make, do
조심스럽다	be cautious, be careful
왕따	outcast
왕따를 시키다	leave sb out in the cold, bully somebody
왕따를 당하다	be treated as an outcast, be ostracized
폭력	violence, brute force
심각하다	serious, grave, severe
견디다	stand, bear, endure
그만두다	stop, cease, drop, quit
손을 쓰다	take measures, take action
골칫거리	trouble, nuisance, headache
학창 시절	school days
자상하다	thoughtful, attentive, considerate
졸업장	diploma, certificate of graduation
관계를 맺다	enter into a relation, form a connection
결석이 잦다	be absent from school frequently
모범적이다	exemplary, model
불량 학생	disorderly student
외톨이	loner, odd man out
처벌을 받다	be punished, be penalized
