접촉사고	minor collision
상대방	the other party
운전자	driver
다짜고짜	abruptly
반말	talk down to, informal speech
어이없다	absurd, dumbfounded
깔보다	belittle, look down on
책임	responsibility, duty
뒤집어씌우다	put the blame on sb
뻔뻔하다	shameless, brazen
사고 처리	accident handling
사고 접수	accidents reported
불쾌하다	unpleasant, unwell, uncomfortable
상책이다	be advisable
가라앉히다	calm down, soothe
다행스럽다	lucky, fortunate
어리둥절하다	puzzled, dazed, perplexed
기가 막히다	be at a loss for words
쑥스럽다	shy, embarrassed
지루하다	tedious, boring (task), wearisome
지겹다	be bored of sth, be sick of sth
난감하다	unbearable, intolerable
거북하다	uncomfortable, awkward
억울하다	be victimized, be wronged
흥분하다	get excited
괘씸하다	be disgusted
마음을 가라앉히다	re-collect one's mind
감정이 드러나다	reveal one's emotions
감정이 나타나다	to show emotions
감정을 표현하다	express one's feelings
감정을 자제하다	restrain one's emotion
짜증을 부리다	show irritation
