틀다	turn on, switch on
(노래) 가사	lyrics
멍청이	idiot, fool
하필	all of a sudden, why of all things?
챙기다	pack, take
녀석	guy, fellow
이민	immigration / emigration
은혜	favor, kindness, grace
어이가 없다	absurd, dumbfounded
멀뚱멀뚱	blankly, vacantly
솔직하다	honest, frank, straightforward
따지다	argue about, quibble over
의심하다	doubtful, suspicious
눈치	sense, wits
물난리	flood damage
인명 피해	casualty, damage of human life
재산 피해	property damage
뒤따르다	follow, go after
복구	restoration
보고서	report
틀림없이	definetly, surely
철없이	immature, childish
소중함	preciousness, importance
허다하다	numerous, innumerable
세상에 눈뜨다	become aware of the world
삶	life
자아	ego
형성하다	form, build
이기주의	egoism, selfishness
팽배하다	overflow
진실하다	truthful, sincere, honest
흔하다	common
흔치 않다	uncommon, rare
풍요롭다	rich, affluent, fertile
향기롭다	aromatic, fragrant
당하다	suffer, undergo
다가가다	approach, go near, get close
효과음	sound effects
타인	stranger, other people
착각하다	delude oneself
합리적	rational, logical
이성적	reasonable, rational
판단하다	judge, decide
차림새	outfit, attire
알아차리다	notice, realize
명확하다	clean, precise
구구절절	every single word, earnest
대표적	representative, typical
첫인상	first impression
허름하다	shabby
차려입다	dress up, doll up
평가	evaluation, assessment
자기중심성	self-centeredness
씌다	be possessed, be blinded
사랑의 콩깍지	love is blind
벗겨지다	come off, peel off
빠져 나오다	escape, get out
착각도	extent of one's illusion
난관	impasse, dead end, difficulty
부딪히다	bump into
최선을 다하다	do one's best, do the best one can
좌절하다	frustrated, discouraged
검색하다	search, browse
성취도	extent of one's achievement
격려	encouragement
불러일으키다	cause, bring about
성취하다	achieve, accomplish
혼란스럽다	be chaotic, be confused
(눈이) 마주치다	encounter, happen to meet
엎드리다	lie on one's stomach
실험	experiment, test
분노	anger, rage, fury
체면	honor, face
차를 받다	bump into a car
뒷목	back of one's neck
민망하다	ashamed, embarrassed
명함	business card
보험회사	insurance company
진로	career
방해하다	impede, get in the way
꾸물거리다	dawdle, drag one's feet
버럭버럭	desperately, frantically
소리 지르다	scream, yell, shout
당신	you
멱살을 잡다	grab sb by the collar
놈	guy, jerk
유단자	blackbelt holder
룸메이트	roommate
수다를 떨다	chat, chatter
보일러	boiler
아부	flattery
불만 제기	grievance, complaint
눈시울이 붉어지다	be moved to tears
목이 메다	have a lump in one's throat
애가 타다	be agonized
배가 아프다	be very jealous
소름 끼치다	get goose bumps
간이 콩알만 해지다	terrified, scared stiff
몸 둘 바를 모르다	deeply ashamed
풀이 죽다	be discouraged
김새다	lose interest
일구이언	being double-tongued
유구무언	no excuse to offer, being unable to say anything
감언이설	sweet talk
반신반의	doubt, half believing - half not believing
이심전심	telepathic, from one mind to another
고진감래	no pain no gain, pleasure follows pain
