맏며느리	the wife of the eldest son
고부 갈등	conflict between mother-in-law and daughter-in-law
대를 잇다	carry on the family line
압박	pressure
편을 들어주다	take sides
나 몰라라 하다	turn a blind eye, ignore sth
서운하다	be hurt
귀가 얇다	gullible
사기	fraud, scam
사기를 당하다	be swindled
돌다리	stone bridge
두드리다	knock
물 쓰듯이 (돈을 쓰다)	spend a lot of money
낭비	waste, dissipation
대금	payment
갚다	repay, pay back
철없다	immature, childish
한심하다	pitiful, pathetic
데릴사위	son-in-law who lives with his wife's family
처가살이	living in one's wife's home
시집살이	living in one's husband's home
자존심이 상하다	hurt one's pride
실속	substance
설문 조사	survey
세대별	generations
견해 차이	difference of opinion
두드러지다	remarkable, noticeable, exceptional
반드시	necessarily, certainly, without fail
에 그치다	stop at
가급적	preferably
아울러	along with, and, both, together
극명하다	obvious, clear
낙태	abortion
아이를 지우다	abort a child
입양	adoption
입양기관	adoption agency
당당하다	be confident
양육	nurture
힘겹다	hard, difficult
외면을 당하다	be disregarded, be dismissed
비난을 받다	be criticized
쫓겨나다	be kicked out, be expelled
생계	livelihood
생계를 꾸리다	make a living
보살피다	take care, look after
불과	only, just
조부모	grandparents
어느덧	in no time, before one knows, unnoticed
거동	behavior, conduct
돌보다	look after, care for, attend
사회 통념	common sense, conventional wisdom
급속하다	rapid, fast
해체되다	be dissolved
통계청	statistics office
한부모 가정	single-parent family
조손 가정	family consisting of grandparent and grandchild
표준	standard, average, norm
벗어나다	get out, escape
넘어서다	pass over, get over
사별	bereavement, separation by death
집계되다	be aggregated, be accumulated
발생하다	occure, happen, arise
경제난	financial difficulties, economic problem
실직	unemployment, job loss
극심하다	extreme, intense, severe
거부하다	deny, reject
미혼모	unmarried mother
점차	gradually, slowly, steadily
무자식 상팔자	live happily without children
여유 있다	leisurely
딩크족	Double Income No Kids
애완동물	pet (1)
펫	pet (2)
입양 가족	adoptive family
재탄생	rebirth
구성하다	constitute, compose
최소	minimum
구조 단위	structural unit
안식처	a place to find peace, a refuge
절반	half, halves
거부감	repulsion
존중하다	respect, honor
감싸주다	cover up (for sb)
빈자리	vacancy, opening / empty seat
복지 정책	welfare policy
보완하다	supplement, compensate
동성 결혼	same-sex marriage
합법화	legalization
관습	custom, convention
에 어긋나다	be contrary, go against
평등권	equal rights
행복 추구권	right to pursue happiness
운동	movement, campaign
동성애자	homosexual
상속권	inheritance, heirship
연금	pension
수령	receive, receipt
입양권	adoption (rights)
양육권	custody (of one's children)
질병	illness, disease, sickness
해를 끼치다	cause injury
성적 취향	sexual orientation
부당하다	unjust, unreasonable, unfair
보장하다	guarantee, assure
죄인	sinner, criminal, offender
그늘	shade
차별 대우	discrimination, differential treatment
고아	orphan
흐름	flow, stream
초래하다	lead to, result in, cause
이치	reason, logic
거스르다	go upstream, go against
윤리	ethics, morals
파괴하다	sabotage
유발시키다	instigate, cause, trigger
축복	blessing
혼란을 겪다	experience confusion
호칭	title, name of sth
혼란스럽다	be chaotic, be confused
방황하다	wander around / feel lost
망치다	ruin, spoil, mess up
부추기다	incite, instigate
기형적	malformed
문명	civilization
진보	progress, advance
숨기다	to hide
드러내다	reveal, show, expose
영향을 끼치다	affect, influence
방안	way, measure, plan
