영상	video, slideshow, picture
동영상	video
눈을 떼다	take one's eyes off sth
케이팝	k-pop
놀랍다	surprising, amazing, astonishing
멜로디	melody, tune
중독성	toxic, poisonous
중독성이 있다	addictive
따라하다	imitate, copy
팬	fan, admirer
인기리	popular
방영	be broadcast, be aired
대화에 끼다	engage in conversation
저속하다	vulgar, indecent, crude
흥미를 끌다	attract interest
어쩔 수 없다	inevitable, unavoidable, urgent
자극적	stimulating, exciting, sensational
온	all, whole, entire
시청하다	watch (TV)
시간대	time slot, time zone
폭력적	violent
선정적	suggestive, lascivious
장면	scene
자제하다	restraing oneself, control oneself
바람	wish, desire, dream
감미롭다	sweet, mellow
감독	director, supervisor, manager
각본	scenario, plot, script
참신하다	original, fresh, novel
진부하다	banal, stale, worn-out
뻔하다	transparent, obvious
통속적이다	common, conventional, unrefined
청중	audience, spectator
평론가	reviewer, critic
장안의 화제다	it is the talk of the town
반응이 뜨겁다	the reaction is intense
반응이 냉담하다	the reaction is indifferent
호평을 받다	receive favorable reviews, be well received
혹평을 받다	receive harsh reviews
