소재	material, subject matter
쏟아지다	to pour (rain)
시선을 사로잡다	catch attention, catch one's eye
제작되다	be produced
저질	low
막장	Slang for "could not get worse"
전개	deployment, development
수위 조절	control the level of sth
무턱대고	blindly, thoughtlessly
외면하다	look away, disregard, avoid
한류	korean wave
몰리다	be cornered, be driven to
콘텐츠	content
이미지	image
개선시키다	improve
인적 교류	human exchange, exchange personal
확대하다	enlarge, expand
애정	affection, love
집착	obsession
쫓다	pursue, chase
극성팬	hardcore fan
무단 침입	trespass
범죄	crime
돋보이다	stand out
사생활 침해	privacy infringement
관대하다	tolerant, generous, lenient
친밀감	intimacy, sense of closeness
용인되다	be tolerated
해법	solution
성숙하다	mature
욕구	desire, craving, drive for
채워 주다	fill up
극심하다	extreme, intense, severe
코미디 프로그램	comedy program
친밀하다	be intimate
오락적	recreational
반영하다	reflect, mirror
풍자적	satirical
꼬집다	point out, criticize
한바탕	bout, period, round
해소하다	solve, settle, get rid of
카타르시스	catharsis, relaxation
스타시스템	star system
조명	lighting, illumination
완벽하다	perfect, flawless, immaculate
가창력	singing ability
유창하다	fluent
매너	manners
흠	fault, flaw, defect
흠잡을 데 없다	be faultless
나아가다	proceed, advance, progress
이른바	so-called
연예기획사	entertainment agency
재능	talent, ability, gift
잠재력	potential, latent power
발굴하다	discover, find / excavate
체계적	systematic
조직적	organized
인기를 끌다	gain popularity
영재	gifted person
연예	entertainment
매니지먼트	management
접목하다	graft, attach, add
연습생	trainee
데뷔하다	make one's debut
교정	correction, proofreading
포함되다	get included
인맥	personal connections
흥행	performance, show
확보하다	retain, secure
창출하다	create
수익을 올리다	make a profit
쏟아붓다	pour into, pump into
보상하다	reward, compensate
게다가	besides, further, in addition
상실하다	lose, loss
투자하다	invest, make an investment
명분	justification, pretext
불공정	unfair
노예 계약	slave contract
이면	the other side, reverse, the background
에 치중하다	focus on, concentrate on
육성하다	promote, foster, nurture
추구하다	pursue, seek
아이돌	idol
논란	argument, controversy
선보이다	show sth special
성 상품화	sexual commercialization
퍼포먼스	performance
하의실종 패션	fashion that shows a lot of legs
탈의하다	undress, disrobe
복근	abs, abdominal muscles
노출	exposure
각선미	a leg-beauty
골반	pelvis
억압하다	suppress, oppress
코드	code
포용하다	embrace, tolerate
부여하다	assign
색안경을 끼다	be partial, wear rose-tintes glasses
모방하다	emulate, model, copy
염려	anxiety, worry, concern
기성세대	older generation
외설	pornography
조각가	sculptor
로댕	Rodin (french sculptor)
외설스럽다	indecent
저급하다	substandard, low-grade
수위가 높다	high in stature, high level
허용하다	permit, allow
낯이 뜨겁다	embarrassing
감수성	sensitivity, sensibility
인격 형성	character building, personality development
안무	choreography
무분별하다	thoughtless, imprudent
불러일으키다	cause, bring about
미성년자	minors
철저히	thouroughly, completely
돈벌이	make money
통제하다	control, regulate
일석이조	two birds with one stone
견물생심	opportunity makes the thief
무용지물	useless thing/person
동고동락	share one's joys and sorrows
전화위복	a blessing in disguise
역지사지	put oneself in someone else's shoes
마이동풍	praying to deaf ears
부화뇌동	follow blindly
노심초사	great anxiety, constant worry
자화자찬	self-admiration, self-praise
학수고대	wait for with impatience, eagerly wait
오십보백보	six of one and half a dozen of the other
그림의 떡이다	pie in the sky, something unreachable
시치미를 떼다	play innocent
감쪽같다	be as good as new, be perfect
거머리 같다	be like a leech
