금융위기	financial crisis
침체되다	be depressed, fall into a slump
상승률	rate of sth rising
민간 소비	private consumption
부진	stagnation, slump
설비 투자	investment in plant and equipment
감소세	decreasing
수출	export
증가세	increasing
둔화되다	slow down
경제성장률	economic growth rate
실업률	unemployment rate
취업자	employed person
다소	somewhat, a little
안정되다	stabilize
불행히도	unfortunately
단시간	short time
극복하다	overcome, surmount
내수 경기	domestic economy
소비	consumption, spending
위축되다	contract, subside, decrease
불투명하다	uncertain, unclear
전망하다	foresee, predict, forecast
방면	direction
물가 상승	inflation of prices
이상 기후	abnormal climate
농산물	agricultural product
원자재	raw material
급등하다	skyrocket, soar
급락하다	collapse, nosedive
소비 심리	consumer sentiment
악화	degeneration, deterioration
가계	household expenses, family budget
빚	debt, liabilities
원화	won (currency)
대폭	sharply, drastically
투자	investment
활성화	vitalization, activation
청년실업	youth unemployment
당분간	for a while, for the time being
저성장	low growth
진입하다	enter, penetrate
주시하다	keep an eye on, monitor
증대	increase (in)
분기	quarter (of a year)
대박을 터뜨리다	hit the jackpot
창업하다	found, establish, start
폐업	closure, shut down, go out of business
