요 며칠	the next few days
춘향전	Chunhyangjeon (korean literature)
동서고금	all ages and countries, all times and places
주제	subject, topic
시대	period, epoch, era
초월하다	transcend, be beyond
보편적이다	universal
구비문학	verbally passed down literature
입에서 입으로	from mouth to mouth
작가	writer
정착하다	settle (down), take root
신화	myth
전설	legend
민담	folktale
포함되다	get included
고전소설	classic novel
정의	definition
고전문학	classical literature
작가 미상	author unknown
기록문학	documentary literature
한문 문학	chinese literature
국문 문학	korean literature
시대상	the phases of the times
천지 창조	creation of heaven and earth
건국 신화	mythology of founding the nation
연못	pond
바위	rock, boulder
고목	old tree
