조상	ancestors, forefathers
귀성객	homecomer
명절 증후군	holiday syndrome
교통 체증	traffic jam
가부장 제도	patriarchy
남아 선호 사상	son preference
대를 잇다	carry on the family line
여전하다	get no better, remain unchanged
윷놀이	playing yut, a game of yut
대행 업체	agency
대이동	mass migration, mass exodus
전후	around, the front and the rear
급증하다	increase rapidly
절	bow, deep bow
장면	scene
친지	relatives, close friend
이야기꽃을 피우다	talk about this and that
농경문화	farming culture
대가족	large family
핵가족	nuclear family
민속학자	folklorist, ethnologist
상품권	voucher, gift card
지출	spending, expense
