미신	superstition
운세	fortune
띠	chinese zodiac sign
부적	talisman, charm, amulet
굿	exorcism
운명	fate, destiny (1)
운수	luck, fortune (1)
사주팔자	fate, destiny (2)
이사	move, relocate
개업	open up, start up
근거	grounds, basis
관상	(formal) physiognomy
손금	the lines of the palm
생명	life
점	fortune telling
복	good fortune, luck
무당	shaman
귀신	ghost, spirit, phantom
궁합	marital compatibility
형편	circumstances, conditions
허락을 맡다	obtain permission
온갖	all kinds of
자연물	a natural object
신	god
정성껏	with one's utmost sincerity
황소	bull, ox
굳세다	strong, firm
그르다	wrong, incorrect, false
가리다	sort, pick out
참을성	patience, forbearance, endurance, perseverance
꾀	wits, trick
느긋하다	relaxed, easygoing, carefree
평안하다	peaceful, calm, well
평화롭다	peaceful
대장	general, admiral, boss, leader
인내심	patience, endurance (when suffering)
엄격하다	strict, stern, rigid, rigorous
정	affection, attachment
활기차다	lively
다정하다	kind, friendly
대하다	treat
자존심	pride, self-respect
목표	goal, aim, purpose
