소극적	passive
외향적	extroverted
적극적	active, enthusiastic
내성적	introverted
사교적	sociable
꼼꼼하다	meticulous, precise
활발하다	active, animated, lively
책임감	responsibility
상사	superior, boss
토론	discussion
태도	attitude
의견	opinion
사무직	office job
전문직	specialized job
서비스직	service industry
판매직	sales position
기능직	technical post
변호사	lawyer
교사	teacher
작가	writer
승무원	flight attendant
회계사	accountant
기자	reporter
비서	personal assistant, secretary
건축 설계사	construction designer
수의사	veterinarian
영업 사원	salesperson
디자이너	designer
자동차 정미원	a car mechanic
적성	aptitude
유형	type
능력	ability
추리	inference, reasoning
자료	material, data
처리하다	handle
정확하다	accurate
계산하다	calculate, sum
분야	area, field, branch
인턴사원	intern worker
자격증	certificate
하늘의 별 따기	be almost impossible
취직하다	find a job
뽑다	select
간판	a sign
살리다	make use of
명문대학	distinguished university, famous college
메이크업 아티스트	make-up artist
주변	surrounding
동기	classmate
대기업	major company
스펙	specification
전문업체	specialized company
도전하다	challenge
과정	process
실력 있다	be capable, be skilled
해결하다	resolved
활동하다	be active, move
보람	worth
무역	trade, commerce
자격	qualification
결격	disqualification, incapacity
사항	a matter, a subject
접수	receipt, accept, receive
