생계를 유지하다	earn a living
꿈을 이루다	achieve a dream
출세를 하다	succeed in life
발휘하다	demonstrate, display
사회적 지위를 얻다	gain social status
사회에 봉사하다	serve society
총무부	general affairs department
기획부	planning department
영업부	business department
인사부	human resources department
회계부	account department
홍보부	a publicity department
일반적	general
전체적	overall
담당하다	be in charge of
개발하다	develop
채용	recruitment
연수	training
상벌	reward and punishment
승진	promotion
관리하다	management
지급하다	provide
버스 안내양	bus attendant
전화 교환원	a telephone operator
타이피스트	a typist
웨딩 플래너	wedding planer
프로게이머	progamer
외국어 교사	foreign language teacher
입사시험	job interview
발등에 불 떨어지다	urgent
지원하다	apply
방송국	broadcasting station
연봉	annual income (salary)
공무원	civil servant
전공을 살리다	utilize major
훌륭하다	excellent, magnificent
옮기다	move
바람직하다	desirable, advisable
물론	of course
직업관	occupational view
가치관	values
의식주	food, clothing and shelter
이익	profit
자체	as a whole
재능	talent, ability, gift (1)
적절히	properly
조화되다	match up
중심에 서다	take centre
출신	ancestry, origin
인턴십	internship
취득	acquire, obtain
외모	appearance, looks
