익히다	boil, cook
볶다	stir-fry
굽다	roast
부치다	fry, griddle
튀기다	fry
삶다	boil
찌다	steam
데치다	parboil, blanch
끓이다	boil, heat, simmer
썰다	slice
자르다	cut
다듬다	trim
주식류	staple food
부식류	side dish
후식류	dessert
맛을 보다	taste the food
입에 맞다	suit one's taste
간이 맞다	be well seasoned
입맛이 없다	have no appetite
간을 보다	taste to see wether it is properly seasoned
제맛이 나다	get the real flavor
김치를 담그다	make kimchi
기대하다	anticipate, look forward to
배추	cabbage
손이 많이 가다	complex
발효 식품	fermented food
절이다	salt (down), pickle, preserve
버무리다	mix
고유	inherent, innate, indigenous
내내	throughout
밥상에 오르다	put on the (dining) table
기후	climate
생산되다	come out, be produced
해산물	seafood
특징	characteristic
살펴보다	examine
담백하다	light, clean
젓갈	salted seafood
섞다	mix, blend
새우젓	pickled shrimp
멸치젓	pickled and fermented anchovies
성분	ingredient
영양	nutrition
보관	storage
유통기한	shelf life, expiration date
양념장	marinade
길이	length
대파	leek
빼다	subtract, take away
익다	be done (cooking)
