매콤하다	spicy
새콤하다	sour
달콤하다	sweet
쓰다	bitter
짜다	salty
싱겁다	bland, be not salty enough
느끼하다	greasy, oily
입이 짧다	have a small appetite, eat like a bird
손이 크다	have an open hand, generous
맛이 가다	go bad
입이 심심하다	need something to nibble on
손맛이 좋다	have great cooking skill
차리다	set
배가 터지다	bloated
솜씨	skill
비비다	mix, rub
고소하다	taste of sesame oil
흔하다	common
친근하다	close to, familiar with
귀하다	valuable, precious (1)
대중적	popular
상징	symbol
판매하다	sell
개업하다	open (up) a business
상당히	considerably
주재료	main ingredients, basis
대량	in quantity
대중화되다	become popular
평균	average
소비되다	be consumed
춘장	thick black soyben paste sauce
숙주나물	green-bean sprouts
갈다	mince, grind
식습관	eating habits
채소	vegetable
골고루	evenly, equally
유제품	dairy product
식물성 기름	vegetable oil
조리하다	cook
