부모	parents
자식	offspring
시부모	parents-in-law
며느리	daughter-in-law
장인/장모	wife's father and mother
사위	son-in-law
부하 직원	subordinate, junior staff
눈치를 보다	read one's mind
동성	same sex, homosexual
말을 따르다	follow another's saying, obey one's words
복을 받다	be blessed
이기적	selfish, egoistic
개인적	personal, individual
우선	first of all
적응하다	adapt, accommodate, adjust
개방적	open, frank
동등하다	equal, equivalent
조부모	grandparents
여유롭다	relaxed, leisurely
직종	a type of occupation
안정성	stability
예측하다	forecast, prediction
전업주부	housewife
육아	parenting, infant care
살림	housekeeping
자녀	descendant, children
반드시	necessarily, certainly, without fail
성 역할	gender role
처가살이	living in one's wife's home
주장하다	claim, insist
