동창	schoolmate
친하다	close
편하다	comfortable
사랑스럽다	lovable, adorable
밉다	ugly, hate, detest
두렵다	afraid, scared
귀찮다	tiresome, troublesome
불편하다	uncomfortable, inconvenient
어색하다	awkward
섭섭하다	sorry, regretful, disappointed
마음을 열다	open one's mind
대화를 나누다	have a talk (with), have a conversation
관심을 가지다	be interested, have an interest
진심으로 대하다	treat a person sincerely
믿음을 주다	be reliable, give somebody faith
속상하다	upset, annoyed
말다툼	a (verbal) quarrel, argument, dispute
생활 습관	habit
소용이 없다	be no good, be useless
주의하다	be careful, be cautious
충고하다	counsel, recommendation, advice
마음을 움직이다	move one's heart
상당수	quite a few, a considerable number
진지하다	serious, earnest
분노	anger, rage, fury
존중을 받다	be aces with, receive respect
대가	a (great) master
출판	publication
기념회	a party in celebration
식물학자	botanist
시원스럽다	straightforward, outspoken
이야기꾼	storyteller
고개를 갸우뚱하다	tilt (one's head)
적절하다	proper, appropriate
호감을 느끼다	feel a favorable impression, feel good
열의	enthusiasm, fervor
흥미를 보이다	show interest in
조언	advice, tip, hint
귀를 열어 놓다	keep one's ears open
활짝	wide open
미소를 짓다	smile, put on a smile
인정하다	admit, acknowledge, accept, concede
지적하다	point out
대하다	treat
