이해하다	understand
존중하다	respect, honor
믿다	believe, trust
다투다	to argue, fight
오해하다	misunderstand
무시하다	disregard, ignore
배신하다	betray
화해하다	reconcile
위로하다	console, comfort
인간관계가 좋다/나쁘다	have good/bad relationships
인간관계를 맺다	make relationships
인간관계를 유지하다	maintain relationships
인간관계를 끊다	break relationships
기념일	anniversary
손해	damage, loss
친분	acquaintance, closeness
유지하다	maintain, keep
짜증이 나다	be irritated, be annoyed
예의를 지키다	be well-mannered
오래가다	last (for) long
원래	originally
좌우하다	affect, determine, influence
대상	subject, target
비결	secret (formula), key
응답자	respondent
요인	cause, factor
자산	property, assets
사적	private, personal
공적	official
꾸준하다	steady, constant
호감을 주다	make a favorable impression
경청	listening courteously
저축	saving
푼	a puns; korean penny
투자	investment
인맥	personal connections
구직자	a job seeker
확장	expansion, extension
공유	sharing
관심사	concern, interest
관련되다	be related to, be associated with
이벤트	event
참여	participation
효율적이다	be efficient
