정보 사회	information society
정보 기기	information equipment
대중매체	mass media
인터넷 산업	internet industry
포털사이트	portal (site)
블로그	blog
커뮤니티	community
손 안의 PC	PC in hand
작성하다	draw sth up, fill in
우수성	excellence, superiority
과학성	science
인정 받다	be recognized, be acknowledged
적합하다	suitable, appropriate
주목을 받다	come into the spotlight, receive attention
문자 입력	text input
경쟁력	competitiveness
자판	keyboard
양손	both hands
번갈아 하다	alternate
입력 속도	input speed
석자	three letters
알파벳	the alphabet
음성 인식	speech recognition
필기 인식	handwriting recognition
표기하다	transcribe, spell, mark
오류	mistake, error
IT 강국	IT superpower
모바일앱	mobile app
커뮤니케이션	communication
네비게이션	navigation
금융	finance
전자책	e-book
