*** 유의어 - Synonyms (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/1/)
가리키다	일컫다
가슴이 부풀다	기대에 가득 차다
간신히	겨우
갈다	바꾸다
개다	접다
거의	대부분
겨우	고작 / 불과
겪다	경험하다
견디다	참다 / 버티다
결심하다	마음을 먹다 / 마음을 정하다
계속	끊임없이
고생을 하다	애를 먹다
고치다	수리하다 / 수선하다
곤란하다 1	어렵다 / 힘들다
곤란하다 2	난처하다 / 난감하다
그다지	그렇게까지
그만두다	포기하다
그지없다	이루 다 말할 수 없다
극복하다	이기다
기르다	키우다
기억에서 사라지다	잊어버리다
꼬이다	얽히다
꼭	반드시 / 어김없이 / 틀림없이
꾸다	빌리다
끊다	자르다
끌다	당기다
나 몰라라 하다	외면하다 / 못 본 체하다
나르다	옮기다
나쁘다	해롭다
낯익다	전에 몇 번 보다
넉넉하다	여유 있다
노력하다	애를 쓰다
눈감아 버리다	모르는 척하다
느끼다 1	깨닫다 / 절감하다
느끼다 2	통감하다 / 실감하다
단장하다	꾸미다 / 가꾸다
대강	대충
대하다	관하다
덮어놓다	무턱대다
동일하다	같다
드디어	마침내
드물다	귀하다
뚜렷하다	분명하다
마찬가지로	똑같이
맡다	담당하다
머뭇거리다	주저하다 / 망설이다
무승부를 기록하다	비기다
미루다	연기하다
밑지다	손해를 보다
바삐 움직이고 있다	서두르고 있다
발생하다	생기다 / 일어나다
밝혀내다	규명하다 / 드러내다
번갈아	교대로
번지다	확산되다 / 퍼지다
벗기다	까다
벗어나다	극복하다 / 탈피하다
보호하다	지키다
복잡하다	붐비다
부족하다	모자라다
비롯되다	시작되다
뽑다	고르다
사고하다	생각하다
사라지다	없어지다
사정이 안 좋다	형편이 어렵다
삽시간에	순식간에
생각조차 못 하다	엄두를 못 내다
(상대방을) 생각하다	배려하다
성취 가능하다	이룰 수 있다
성취하다	이루다 / 성공하다
쇄도하다	빗발치다
수월하다	손쉽다
안심하다	마음을 놓다
알뜰하다	(돈을) 아껴 쓰다
어깨가 무겁다	부담이 되다
어색하다	서먹하다
어안이 벙벙하다	어리둥절하다
