,ko,en,word_count,source,filepath,zipf,word,frequency,level
740,이,this,1,other,Fun Fun Korean 1,7.49,이,5117.0,beginner
707,이,teeth,1,topik,쏙쏙 40 days TOPIK 초급,7.49,이,5117.0,beginner
877,이,this,1,yonsei,Yonsei Korean 1 Vocabulary 2017 (연세 한국어 1급 단어),7.49,이,5117.0,beginner
649,이,two,1,yonsei,Yonsei Korean 1 Vocabulary 2017 (연세 한국어 1급 단어),7.49,이,5117.0,beginner
58,이,two,1,sogang,"""Sogang Korean New Series 1A"" Vocabulary",7.49,이,5117.0,beginner
202,이,two (sino),1,yonsei,Yonsei Korean Vocab Beginner,7.49,이,5117.0,beginner
480,이,2,1,sungkyunkwan,성균관어학 1급,7.49,이,5117.0,beginner
421,이,this,1,integrated,Integrated Korean Beginning 1,7.49,이,5117.0,beginner
616,이,tooth,1,kiip,KIIP Beginner Level 1,7.49,이,5117.0,beginner
119,이,two (Sino-Korean),1,integrated,Integrated Korean Beginning 1,7.49,이,5117.0,beginner
196,이,2 (Sino-Korean),1,integrated,Integrated Korean Beginning 1,7.49,이,5117.0,beginner
25,에,"in, at, on (indicates static location)",1,integrated,Integrated Korean Beginning 1,7.22,에,2725.0,beginner
305,에,"at, in, on (time)",1,integrated,Integrated Korean Beginning 1,7.22,에,2725.0,beginner
281,에,to (destination),1,integrated,Integrated Korean Beginning 1,7.22,에,2725.0,beginner
285,에,"for, per",1,integrated,Integrated Korean Beginning 2,7.22,에,2725.0,beginner
378,다,all,1,other,Fun Fun Korean 1,7.11,다,3271.0,beginner
327,다,all,1,topik,쏙쏙 40 days TOPIK 초급,7.11,다,3271.0,beginner
66,다,all,1,yonsei,Yonsei Korean 1 Vocabulary 2017 (연세 한국어 1급 단어),7.11,다,3271.0,beginner
247,다,all,1,topik,TOPIK Beginner Vocabulary List,7.11,다,3271.0,beginner
450,다,all,1,sogang,Sogang Korean 2B (w,7.11,다,3271.0,beginner
69,다,all,1,integrated,Integrated Korean Beginning 2,7.11,다,3271.0,beginner
137,이/가,Subject Particle,1,integrated,Integrated Korean Beginning 1,7.01,,,beginner
7,의,dash (-),1,yonsei,Yonsei Korean 1 Vocabulary 2017 (연세 한국어 1급 단어),6.99,,,beginner
572,의,Possessive particle,1,sungkyunkwan,성균관어학 1급,6.99,,,beginner
182,의,of (particle),1,integrated,Integrated Korean Beginning 1,6.99,,,beginner
124,도,"also, too (particle)",1,integrated,Integrated Korean Beginning 1,6.98,도,2972.0,beginner
393,도,"Too, also",1,sungkyunkwan,성균관어학 1급,6.98,도,2972.0,beginner
378,어,oh!,1,other,Fun Fun Korean 2,6.98,어,331.0,beginner
680,-도,also,1,other,Fun Fun Korean 1,6.98,,,beginner
255,어,oh,1,sogang,Sogang Korean 2B (w,6.98,어,331.0,beginner
147,도,degree,1,yonsei,Yonsei Korean 1 Vocabulary 2017 (연세 한국어 1급 단어),6.98,도,2972.0,beginner
45,어,oh,1,integrated,Integrated Korean Beginning 1,6.98,어,331.0,beginner
125,은/는,topic particle ('as for'),1,integrated,Integrated Korean Beginning 1,6.98,,,beginner
1042,들,plural particle,1,yonsei,Yonsei Korean 1 Vocabulary 2017 (연세 한국어 1급 단어),6.96,들,2243.0,beginner
89,들,plural particle,1,integrated,Integrated Korean Beginning 1,6.96,들,2243.0,beginner
168,하고,and (with nouns),1,integrated,Integrated Korean Beginning 1,6.94,,,beginner
208,하고,And,1,sungkyunkwan,성균관어학 1급,6.94,,,beginner
306,하고,with,1,integrated,Integrated Korean Beginning 1,6.94,,,beginner
44,하다,to do,1,integrated,Integrated Korean Beginning 1,6.91,하다,1.0,beginner
252,한,1 (Native Korean before counter),1,integrated,Integrated Korean Beginning 1,6.91,한,2922.0,beginner
785,하다,to do,1,topik,쏙쏙 40 days TOPIK 초급,6.91,하다,1.0,beginner
