,word,frequency,pos,en
4985,때문,12,Noun,"ground, reason, because"
1977,그녀,42,Noun,"she,her,hers,herself"
998,그러다,49,Adjective,
1547,이렇다,66,Adjective,be like this
5234,우리나라,121,Noun,my country
5232,듯,250,Noun,
1340,년대,257,Noun,nyeondae
3700,선생,391,Noun,"teacher,schoolteacher,instructor, Mister ,sir,madam,ma'am"
2644,대로,432,Noun,"main street,main road,thoroughfare,boulevard, daero"
2307,시작되다,434,Noun Verb,"start, begin"
4137,이날,468,Determiner Noun,"today, this day, that day, the very[same] day, on the day in question"
4486,이곳,472,Determiner Noun,"this place,here"
5324,얘기하다,568,Noun Verb,"tell; say; speak, converse; have a talk; talk, tell, talk of; gossip; rumor"
5313,셈,602,Noun,"calculation,figures,sum, sem"
1627,이데올로기,623,Noun,ideology
624,아니,633,Adjective,"no, nope , nay, Why!, What!, Good heavens!"
2713,선,643,Noun,"good,goodness,virtue, seon"
1464,어떠하다,658,Adjective,
82,티브이,751,Noun,TV; television
3042,죽음,765,Noun,"death,passing"
3360,느껴지다,786,Verb,
3312,미,796,Adjective,"beauty, mi"
4863,사용,797,Noun,"use, use,employ"
694,만들어지다,832,Verb,
3850,작용,842,Noun,"action,effect,act ,work"
3318,골,844,Noun,valley
4664,그중,846,Adverb,"among the rest[others], among them , of them"
841,움직임,859,Noun,"movement,motion,activity"
1289,교장,863,Noun,"principal,head teacher,headmaster"
4440,입시,866,Noun,entrance examination
4294,특별,894,Noun,special
65,부정,902,Noun,"corruption,illegality,dishonesty,illegal,unlawful,dishonest, paternal love"
3897,꼴,918,Noun,"look,state,sight, fodder; green-feed"
2717,그리하여,922,Conjunction,"so,therefore,accordingly,consequently,thus,for that[this] reason,on that account[score]"
1471,오랜,978,Adverb,"long,old,long-time"
1324,톤,1002,Noun,"tone, ton,metric ton"
478,급,1004,Noun,"a class, a grade, a rank, a class, a grade , a standard , a form, rank; position, geup, grade; level; rank, rank; title"
1372,소프트웨어,1019,Noun,software
4663,생각되다,1040,Noun Verb,"look, appear, seem to be, be thought ,be supposed ,  be regarded"
4292,구속,1058,Noun,"imprisonment,confinement,detention,imprison,jail ,put[throw send] sb in prison, restriction,restraint,restrict,restrain,tie  down, speed of baseball"
5407,때로,1059,Noun Josa,"sometimes,occasionally,at times,from time to time, now and then[again], once in a while"
1230,싸움,1083,Noun,"fight,brawl,quarrel,argument,fight,brawl,quarrel,argue,have an argument"
2490,사용되다,1114,Noun Verb,"be used, be hired; be employed"
4601,정당,1117,Noun,party
4144,재미,1130,Noun,"fun,interest"
4696,어둠,1164,Noun,"darkness,the dark"
3485,짓,1207,Noun,act
385,그만큼,1214,Adverb,"that much, so much[many], as much[many], to that extent, in that degree, as much as that"
1986,무어,1215,Noun,"what, something, What?, Why!, Huh!, but, but anyway, somehow or other, just, what; oh my goodness; oh my gosh, what, anyway, oh well; anyway"
3232,서구,1218,Noun,"the West,the Occident, Seo-gu"
52,시리즈,1229,Noun,series
3470,어찌,1238,Noun,"how,what"
1674,자네,1278,Noun,you
1393,참으로,1288,Noun,"really,truly,indeed,very,so, much,quite,how"
634,발견되다,1301,Noun Verb,be discovered; be found
3127,시스템,1303,Noun,system
833,이용,1304,Noun,"take advantage of,use,use,utilize,make  use of, use,take advantage of,exploit,capitalize on,play on"
3956,스타,1330,Noun,star
5104,입술,1332,Noun,lips
4977,잎,1333,Noun,"leaf ,blade,needle,frond,foliage"
3602,위원장,1343,Noun,"chairperson,chairman"
2666,건,1355,Noun,"case,matter, geon"
3794,조금씩,1374,Adverb,"gradually,little by little,bit by bit,inch by inch,a bit,a little"
37,조미료,1375,Noun,"seasoning,condiment"
4417,맨,1389,Noun,
4087,현,1395,Noun,"current,present,existing"
3869,이어,1401,Verb,
66,진리,1403,Noun,truth
2897,이러다,1424,Verb,"with the way things are going,at this rate"
2545,죄,1426,Noun,"crime,offense,misdeed,criminal act,felony,misdemeanor,sin,vice"
1680,총장,1427,Noun,"president,chancellor"
5377,밀리미터,1440,Noun,a millimeter
1821,아니하다,1458,Adjective,"be[do] not, anihada"
1953,민간,1485,Noun,
4742,사실상,1488,Noun Suffix,"actually,in fact,in reality,as a matter of fact,practically,virtually, being actual; being as a matter of fact; being virtual"
2245,이뤄지다,1516,Verb,
955,참새,1521,Noun,sparrow
5438,눈앞,1528,Noun,
2488,현실적,1566,Noun Suffix,"realistic,practical,down-to-earth, being realistic; being practical; being probable, being practical; being realistic"
1728,결정되다,1568,Noun Verb,be decided
4097,구역,1604,Noun,"area,quarter,beat,precinct,zone,territory"
1642,직접적,1613,Noun Suffix,"direct,immediate, being direct"
1581,태아,1630,Noun,"embryo ,fetus"
3043,눈빛,1635,Noun,"【안광】the glitter of one's eyes, snow white; white, 【기색】the expression in one's eyes"
4683,물속,1639,Noun,
4092,필요성,1647,Noun,"necessity,need"
3526,무기,1663,Noun,"weapon,weaponry,arms,armaments, weapon"
4864,세계적,1664,Noun Suffix,"global,universal, being worldwide; being global"
4596,아마도,1682,Adverb,perhaps
1181,증거,1690,Noun,"evidence,proof"
2459,초점,1691,Noun,"focus ,focal point, focus,point"
2834,적극,1708,Noun,the positive
5122,그이,1712,Noun,"that person, he[him]"
3063,또다시,1718,Adverb,"again,once more[again], over again"
1268,쇠고기,1722,Noun,beef
3820,오래전,1741,Adverb,"long  ago,long before"
1456,너머,1766,Noun,"beyond, over, the other[opposite] side"
2042,역사가,1845,Noun Josa,historian
1468,연구자,1846,Noun,researcher
4734,조그맣다,1850,Adjective,"small,little,tiny"
1243,더욱이,1859,Noun,"besides,further,moreover,furthermore,in addition"
2408,극,1872,Modifier,"extreme, pole,magnetic pole, play; theater, play; drama"
2900,다방,1874,Noun,"coffee shop,coffee house,tea room,teahouse"
2261,실로,1879,Noun,"really,truly,indeed,surely"
1180,아픔,1880,Noun,"pain,agony,torment,torture,suffering,distress,anguish"
5197,호흡,1889,Noun,"breath,breathing,respiration,breathe,respire,take a breath"
2776,근본,1891,Noun,"root,basis"
602,많아지다,1894,Verb,increase; grow
1677,글쓰기,1912,Noun,writing
2780,희곡,1938,Noun,play
2669,마련되다,1947,Noun Verb,"be prepared; be arranged, be figured out, be prepared; be equipped"
3255,뱃사람,1972,Noun,"sailor,seaman,crewman,fisherman"
4263,창밖,1983,Noun,
1087,텍스트,1986,Noun,a text
3377,서클,2000,Noun,"club,society,group"
4873,접촉,2025,Noun,"contact,touch,make[come into] contact, contact,touch,have[make] contact"
3604,정치권,2043,Noun,political circles[community]
