,ko,en,word_count,source,filepath,zipf,word,frequency,level
532,이,Tooth,1,sungkyunkwan,성균관어학 3급,7.49,이,5117.0,intermediate
2194,이,teeth,1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,7.49,이,5117.0,intermediate
223,이,tooth,1,integrated,Integrated Korean Intermediate 2 - First Edition,7.49,이,5117.0,intermediate
39,은,silver,1,other,2000 Essential Korean Words - Intermediate,7.2,은,4439.0,intermediate
1150,다,"all, everything (not 전...)",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,7.11,다,3271.0,intermediate
1083,도,a degree (temperature),1,other,2000 Essential Korean Words - Intermediate,6.98,도,2972.0,intermediate
21,한,approximately (=약),1,SNU,서울대 한국어 4B,6.91,한,2922.0,intermediate
1127,게,a crab,1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.9,게,3547.0,intermediate
1267,지,"the time since, from the time when",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.87,지,527.0,intermediate
1110,해,Sun,1,sungkyunkwan,성균관 어학 4급,6.82,해,5052.0,intermediate
283,해,"harm/damage (verbs used: 입다, 입히다, 주다)",1,yonsei,연세 한국어 4-1 [Yonsei Korean 4-1],6.82,해,5052.0,intermediate
398,해,the sun,1,sogang,Sogang Korean 3B (w,6.82,해,5052.0,intermediate
61,(이)나,or,1,integrated,Integrated Korean Intermediate 2 - First Edition,6.79,,,intermediate
162,요,korean style mattress used as a bed on the floor,1,other,Korean Vocabulary Practice (INTERMEDIATE),6.74,요,4546.0,intermediate
134,들다,"1. to cost, to need, to require 2. to join, to enter",1,other,Korean Vocabulary Practice (INTERMEDIATE),6.73,들다,2504.0,intermediate
710,들다,To lift up,1,sungkyunkwan,성균관어학 3급,6.73,들다,2504.0,intermediate
1958,들다,"to suit one's taste / one's fancy, to be pleased with something; to carry, to have; to be hit by (a thought); to age, to grow older",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.73,들다,2504.0,intermediate
245,들다,to cost/ join/ eat (hon.)/ carry/ lift,1,yonsei,Yonsei 3-1 연세 한국어,6.73,들다,2504.0,intermediate
422,들다,hold,1,topik,쏙쏙 TOPIK 한국어 어휘 중급 (day by day),6.73,들다,2504.0,intermediate
453,들다,To join/ to be included,1,yonsei,Yonsei 3-1 연세 한국어,6.73,들다,2504.0,intermediate
323,다들,everyone,1,yonsei,Yonsei 3-1 연세 한국어,6.73,,,intermediate
970,들다,To lift,1,sungkyunkwan,성균관어학 3급,6.73,들다,2504.0,intermediate
362,다하다,"to do, to make",1,topik,TOPIK Essential Vocab 1000 (Intermediate),6.69,다하다,1191.0,intermediate
456,다하다,do; make,1,topik,TOPIK 필수어위 1000 중급,6.69,다하다,1191.0,intermediate
51,다하다,to carry out (fully),1,other,2000 Essential Korean Words - Intermediate,6.69,다하다,1191.0,intermediate
996,나다,grow,1,topik,쏙쏙 TOPIK 한국어 어휘 중급 (day by day),6.68,나다,233.0,intermediate
618,나다,"to occur, happen, grow, arise, start (not 생..., 나타...)",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.68,나다,233.0,intermediate
185,(이)요,It is [noun].,1,integrated,Integrated Korean Intermediate 1,6.67,,,intermediate
12,면,side (of something),1,yonsei,Yonsei Korean 4-2 (Units 6-10) + Proverbs,6.64,면,3867.0,intermediate
1539,면,"an aspect, a side, a phase",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.64,면,3867.0,intermediate
8,면,cotton,1,yonsei,연세 한국어 4-1 [Yonsei Korean 4-1],6.64,면,3867.0,intermediate
77,면,noodles,1,sogang,Sogang 4B,6.64,면,3867.0,intermediate
64,면,face; side,1,other,Seoul National University Korean Level 4,6.64,면,3867.0,intermediate
377,면,a newspaper column,1,kiip,KIIP 2016 Level 4 ~ 중급2 NO TYPING,6.64,면,3867.0,intermediate
60,면,"newspaper section (eg business, sports)",1,yonsei,Yonsei Korean 4-2 (Units 6-10) + Proverbs,6.64,면,3867.0,intermediate
304,면,part,1,topik,TOPIK Essential Vocab 1000 (Intermediate),6.64,면,3867.0,intermediate
391,22도,22 degrees,1,sogang,Sogang Korean 3B (w,6.62,,,intermediate
800,내,throughout,1,other,Seoul National University Korean Level 4,6.61,내,343.0,intermediate
2279,내,"the inside, within (not 안, 속)",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.61,내,343.0,intermediate
450,나들이,outing,1,topik,쏙쏙 TOPIK 한국어 어휘 중급 (day by day),6.57,나들이,4412.0,intermediate
593,나들이,an excursion,1,other,2000 Essential Korean Words - Intermediate,6.57,나들이,4412.0,intermediate
1294,나들이,"a trip, outing, excursion",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.57,나들이,4412.0,intermediate
1998,한해,"damage from drought, damage from cold weather",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.56,,,intermediate
562,한 해,one year,2,sogang,Sogang Korean 3B (w,6.56,,,intermediate
216,말,horse,1,sogang,Sogang 4A,6.55,말,2101.0,intermediate
214,야,Hey,1,yonsei,Yonsei 3-2 연세 한국어,6.55,야,637.0,intermediate
168,야!,wow! oh! good heavens!,1,integrated,Integrated Korean Intermediate 2 - First Edition,6.55,,,intermediate
398,가면,a partial mask (does not cover whole head),1,kiip,KIIP 중급1 (Level 3),6.53,,,intermediate
414,내다,to take out 나다(to come out) causative N을/를,1,kiip,KIIP 2016 Level 4 ~ 중급2 NO TYPING,6.49,내다,122.0,intermediate
2162,내다,"to make, emit (e.g. sound, light) build; to pay (money); to submit",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.49,내다,122.0,intermediate
501,내다,to submit,1,other,가나다 intermediate 2,6.49,내다,122.0,intermediate
1013,내다,give,1,topik,쏙쏙 TOPIK 한국어 어휘 중급 (day by day),6.49,내다,122.0,intermediate
1441,-제,"a system, an organization, an institution (suffix)",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.47,,,intermediate
423,말고,not A but B,1,integrated,Integrated Korean Intermediate 1,6.46,,,intermediate
271,수,the number,1,sogang,Sogang Korean 3B (w,6.45,수,4531.0,intermediate
1010,해지다,to harm,1,other,2000 Essential Korean Words - Intermediate,6.44,,,intermediate
86,되다,"to function, work",1,integrated,Integrated Korean Intermediate 1,6.44,되다,3.0,intermediate
1740,만,western age,1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.43,만,4835.0,intermediate
1044,만,one's age in full,1,other,2000 Essential Korean Words - Intermediate,6.43,만,4835.0,intermediate
111,보고,report on,1,topik,쏙쏙 TOPIK 한국어 어휘 중급 (day by day),6.42,보고,2341.0,intermediate
822,보고,report/ brief,1,kiip,KIIP 4 - 2016,6.42,보고,2341.0,intermediate
422,들어 있다,to contain,2,sogang,Sogang Korean 3B (w,6.42,,,intermediate
176,들어 있다,to contain,2,integrated,Integrated Korean Intermediate 1,6.42,,,intermediate
403,보고,to (a person),1,integrated,Integrated Korean Intermediate 2 - First Edition,6.42,보고,2341.0,intermediate
16,들어 있다,to be inside,2,sogang,Sogang Korean 3B (w,6.42,,,intermediate
672,보고,a report,1,other,2000 Essential Korean Words - Intermediate,6.42,보고,2341.0,intermediate
37,말이다,Do you mean?,1,yonsei,Yonsei 3-1 연세 한국어,6.41,,,intermediate
648,이만,now,1,topik,쏙쏙 TOPIK 한국어 어휘 중급 (day by day),6.39,,,intermediate
217,아/야,vocative suffix,1,integrated,Integrated Korean Intermediate 1,6.39,,,intermediate
706,나들이 가다,to go on an outing or day trip,2,sogang,Sogang 4B,6.38,,,intermediate
291,저,When you cannot think of what to say or have to say smth difficult,1,other,가나다 intermediate 2,6.37,저,4665.0,intermediate
206,"-이,가 지나다",to be overdue,2,sogang,Sogang 3A vocabulary,6.36,,,intermediate
49,와,wow,1,integrated,Integrated Korean Intermediate 1,6.34,와,3818.0,intermediate
620,의면하다,to turn away,1,topik,TOPIK Essential Vocab 1000 (Intermediate),6.34,,,intermediate
180,과,department,1,sogang,Sogang 3A vocabulary,6.33,과,2482.0,intermediate
42,서,west,1,integrated,Integrated Korean Intermediate 1,6.32,,,intermediate
706,인,stamp (도장),1,kiip,KIIP 중급1 (Level 3),6.32,인,2302.0,intermediate
1115,저가,"a low price, cheap price",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.31,,,intermediate
1387,적,"the time (when), the occasion; an experience",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.31,적,2136.0,intermediate
89,저가,low price,1,yonsei,Yonsei Korean 4-2 (Units 6-10) + Proverbs,6.31,,,intermediate
1127,저가,cheap price,1,other,Korean Vocabulary Practice (INTERMEDIATE),6.31,,,intermediate
58,잘도,(also) well,1,integrated,Integrated Korean Intermediate 2 - First Edition,6.3,,,intermediate
3,하자,defect,1,yonsei,연세 한국어 4-1 [Yonsei Korean 4-1],6.29,,,intermediate
1228,하자,"flaw, defect",1,other,Korean Vocabulary Practice (INTERMEDIATE),6.29,,,intermediate
391,-여,"-around, about (ie. around -a thousand dollars)",1,sogang,Sogang 4B,6.28,,,intermediate
40,이만하다,to be this big,1,sogang,Sogang 4A,6.28,,,intermediate
102,-여,"more than, over, and more, in excess of, odd",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.28,,,intermediate
1366,더하다,to add,1,other,2000 Essential Korean Words - Intermediate,6.26,더하다,1420.0,intermediate
2379,어이가 없다,To be absurd,2,sungkyunkwan,성균관 어학 4급,6.26,,,intermediate
358,시,"poetry, poem",1,sogang,Sogang 4B,6.26,시,2129.0,intermediate
885,시,"poetry, a poem",1,topik,TOPIK in 30 Days+ Intermediate Vocabulary,6.26,시,2129.0,intermediate
